Wahlkreisnummer,% SPD,% CDU,% Grüne,% FDP,% AfD,% Linke
1,"15,9216843290468%","24,8557384056422%","15,9456627693013%","3,6827756608406%","15,2560219767618%","8,28507237840064%"
2,"17,4211903204709%","29,6272073250491%","12,2714192282538%","4,98168737737083%","16,0654022236756%","6,17200784826684%"
3,"17,5926624637274%","29,2321517997407%","11,0303146716425%","5,10869788915491%","20,3600167385831%","6,64329667766565%"
4,"17,7213567458607%","29,2642997797793%","14,696526572131%","4,63512112137772%","16,0201810703424%","6,3427053353996%"
5,"19,294785453146%","19,7481720223206%","22,9393159515105%","3,94879257263806%","10,753198960939%","13,6972051183375%"
6,"19,1665206266868%","28,6109845431285%","13,9896954190179%","4,31110020679261%","18,0035750587081%","6,76947881251972%"
7,"20,2346305922967%","28,8681934046525%","14,5349537362262%","5,06091564137045%","15,6042390060815%","7,5587580033318%"
8,"19,1320168542261%","29,0146358147555%","13,6852706034364%","5,21302924787778%","17,2014764074086%","7,0718394763219%"
9,"19,6745138041616%","31,1492022854705%","12,7307638458308%","5,1043062583755%","17,6637264902561%","5,95702408811195%"
10,"19,2557595783636%","29,7169606237591%","13,938445336541%","5,35789336386429%","17,178494997657%","6,88540745786293%"
11,"21,1197861714848%","22,5342899345854%","17,8968840120982%","3,9016670183583%","15,6530913694872%","10,4951818245762%"
901,"18,7582775644892%","27,5715101788114%","14,8893505708794%","4,68894441838175%","16,286044970379%","7,78678802307559%"
12,"14,489496537965%","18,8997770214764%","5,5709423776552%","3,29362750850839%","32,2585377303133%","11,4763525407816%"
13,"14,2274135404364%","18,4339889811591%","4,78843454548827%","3,04285723119161%","34,7730378486672%","10,721418722136%"
14,"14,2597118058482%","16,8012134490604%","8,95087216651218%","3,40271340692677%","25,6239993258616%","17,268616050111%"
15,"10,3468770261509%","17,6545277717744%","6,19515885022693%","3,35206397233629%","35,4695266911606%","12,542684244651%"
16,"9,77355278773421%","17,309006341481%","2,82969107757226%","3,14796389311788%","42,8499502511418%","9,48464978002613%"
17,"11,4112302791548%","17,8953122349349%","3,36958638845431%","2,91029724991989%","39,8318662469606%","10,2897102897103%"
913,"12,4069622267375%","17,8181106024627%","5,35836862591496%","3,19998041567725%","34,9928762025998%","12,0493524933291%"
18,"22,1964403287811%","15,7105537030351%","20,2668691459763%","4,1124184949982%","10,5202514708069%","18,982435273878%"
19,"20,5509345646605%","19,5218065087447%","23,6895537493279%","4,6661817261773%","7,33483032353964%","17,9986716847465%"
20,"22,3489278161867%","20,1942594690888%","23,9637172270461%","4,90738440470925%","7,54376291377085%","14,5367402461266%"
21,"22,5244716498245%","26,0869106356033%","21,0712118413762%","5,85208833540012%","8,32801245349727%","10,1923432099417%"
22,"24,8800831870479%","22,3201806858459%","14,5107729463198%","4,1062423829064%","14,1250265550052%","11,4538725583372%"
23,"23,7526207991468%","20,3858785888284%","12,5459018578891%","3,28554288415159%","17,3039399852145%","13,8953861815714%"
902,"22,7362473190419%","20,7472898516465%","19,3096933682596%","4,50563659176414%","10,8590646291545%","14,444872993648%"
24,"28,6297960371077%","23,2776287293532%","8,24126450528493%","3,26599217765136%","20,9962181206969%","7,55212205449785%"
25,"21,7483673386606%","32,7764369447937%","7,23390662394029%","3,91280980002434%","20,8777836368799%","6,56867318379102%"
26,"25,4903138008325%","26,4289145052834%","8,38670082185932%","3,97654498879283%","20,1982602198741%","7,26865193723983%"
27,"23,8242891381658%","23,8501716007268%","16,4907521961269%","4,42848934419016%","12,8993016911601%","11,2324711022306%"
28,"23,8128867183468%","26,1303447938679%","10,0146131322624%","4,91468429658683%","19,5321624719553%","7,39511410737664%"
29,"23,9915019302018%","29,7717439179211%","8,84524703992538%","3,77166619167293%","20,0358836178978%","6,01082985724279%"
30,"21,992040494884%","30,6873790143199%","10,9431171922906%","4,02363804691539%","18,3345156364598%","7,08720587704849%"
31,"21,2301247646188%","39,2761839548068%","8,68820929038235%","4,49162697493631%","14,3408823144391%","6,34849507084093%"
32,"15,6050425133072%","39,5408670243908%","7,13138572433759%","4,52902345617343%","20,6024374654227%","6,18658588332608%"
